implementation,run,warmup,metric,milliseconds
cuda,12,0,application_total,670145.237000000
cuda,13,0,compilation,8329.407000000
cuda,13,0,model_setup,328.422000000
cuda,13,0,batch_loading,48411.648000000
cuda,13,0,training_total,654664.748000000
cuda,13,0,epoch_average,6546.647480000
cuda,13,0,batch_average,24.267794721
cuda,13,0,prediction_total,2200.805000000
cuda,13,0,cpu_gpu_transfer,22348.970000000
cuda,13,0,gpu_cpu_transfer,104.907000000
cuda,13,0,gpu_compute,629307.752000000
cuda,13,0,application_total,665442.422000000
cuda,14,0,compilation,8479.705000000
cuda,14,0,model_setup,337.902000000
cuda,14,0,batch_loading,48791.208000000
cuda,14,0,training_total,655079.386000000
cuda,14,0,epoch_average,6550.793860000
cuda,14,0,batch_average,24.284552305
cuda,14,0,prediction_total,2219.204000000
cuda,14,0,cpu_gpu_transfer,23290.637000000
cuda,14,0,gpu_cpu_transfer,103.736000000
cuda,14,0,gpu_compute,628790.690000000
cuda,14,0,application_total,666305.048000000
cuda,15,0,compilation,8370.746000000
cuda,15,0,model_setup,314.018000000
cuda,15,0,batch_loading,55244.927000000
cuda,15,0,training_total,656261.197000000
cuda,15,0,epoch_average,6562.611970000
cuda,15,0,batch_average,24.328096914
cuda,15,0,prediction_total,2177.416000000
cuda,15,0,cpu_gpu_transfer,25284.631000000
cuda,15,0,gpu_cpu_transfer,77.495000000
cuda,15,0,gpu_compute,628287.359000000
cuda,15,0,application_total,666968.401000000
cuda,16,0,compilation,8294.039000000
cuda,16,0,model_setup,367.175000000
cuda,16,0,batch_loading,45846.845000000
cuda,16,0,training_total,659725.697000000
cuda,16,0,epoch_average,6597.256970000
cuda,16,0,batch_average,24.470908550
cuda,16,0,prediction_total,2198.425000000
cuda,16,0,cpu_gpu_transfer,29968.961000000
cuda,16,0,gpu_cpu_transfer,72.453000000
cuda,16,0,gpu_compute,627906.697000000
cuda,16,0,application_total,670357.662000000
cuda,17,0,compilation,8417.597000000
cuda,17,0,model_setup,320.802000000
cuda,17,0,batch_loading,48177.792000000
cuda,17,0,training_total,654115.371000000
cuda,17,0,epoch_average,6541.153710000
cuda,17,0,batch_average,24.248874164
cuda,17,0,prediction_total,2219.545000000
cuda,17,0,cpu_gpu_transfer,21757.634000000
cuda,17,0,gpu_cpu_transfer,102.924000000
cuda,17,0,gpu_compute,629713.932000000
cuda,17,0,application_total,664692.659000000
cuda,18,0,compilation,8380.204000000
cuda,18,0,model_setup,355.157000000
cuda,18,0,batch_loading,48139.746000000
cuda,18,0,training_total,654454.388000000
cuda,18,0,epoch_average,6544.543880000
cuda,18,0,batch_average,24.260891859
cuda,18,0,prediction_total,2219.385000000
cuda,18,0,cpu_gpu_transfer,22281.572000000
cuda,18,0,gpu_cpu_transfer,101.634000000
cuda,18,0,gpu_compute,629524.121000000
cuda,18,0,application_total,665534.248000000
cuda,19,0,compilation,8386.526000000
cuda,19,0,model_setup,320.310000000
cuda,19,0,batch_loading,43718.102000000
cuda,19,0,training_total,654040.637000000
cuda,19,0,epoch_average,6540.406370000
cuda,19,0,batch_average,24.259325428
cuda,19,0,prediction_total,2103.908000000
cuda,19,0,cpu_gpu_transfer,22515.927000000
cuda,19,0,gpu_cpu_transfer,72.165000000
cuda,19,0,gpu_compute,629638.280000000
cuda,19,0,application_total,664683.285000000
cuda,20,0,compilation,8474.974000000
cuda,20,0,model_setup,379.584000000
cuda,20,0,batch_loading,47947.659000000
cuda,20,0,training_total,654379.421000000
cuda,20,0,epoch_average,6543.794210000
cuda,20,0,batch_average,24.259929888
cuda,20,0,prediction_total,2217.711000000
cuda,20,0,cpu_gpu_transfer,21944.990000000
cuda,20,0,gpu_cpu_transfer,102.433000000
cuda,20,0,gpu_compute,629857.759000000
cuda,20,0,application_total,664870.926000000
cuda,21,0,compilation,8583.117000000
cuda,21,0,model_setup,323.656000000
cuda,21,0,batch_loading,54881.008000000
cuda,21,0,training_total,657238.542000000
cuda,21,0,epoch_average,6572.385420000
cuda,21,0,batch_average,24.365755688
cuda,21,0,prediction_total,2087.530000000
cuda,21,0,cpu_gpu_transfer,26074.258000000
cuda,21,0,gpu_cpu_transfer,74.556000000
cuda,21,0,gpu_compute,628540.900000000
cuda,21,0,application_total,667673.346000000
cuda,22,0,compilation,8595.103000000
cuda,22,0,model_setup,326.137000000
cuda,22,0,batch_loading,55510.658000000
cuda,22,0,training_total,656830.378000000
cuda,22,0,epoch_average,6568.303780000
cuda,22,0,batch_average,24.347063123
cuda,22,0,prediction_total,2065.129000000
