split,accuracy,precision,recall,f1,tn,fp,fn,tp,total
train,0.560350967672,0.563268824406,0.758603512332,0.646503745794,1393682,2744075,1126195,3539138,8803090
test,0.560184987096,0.563009595156,0.758393696457,0.646256794911,348065,685055,281179,882611,2196910
