
cuda x polyhok
  epoch   campo     status  erro_abs_max      erro_rel_max      indice    referencia      candidato
  0       weights   OK      0                 0                 0         -0.148978099    -0.148978099
  0       biases    OK      0                 0                 0         0               0
  1       weights   OK      5.74e-07          0.00424840685     33703     0.122916356     0.122915782
  1       biases    OK      3.4e-07           0.0115803815      295       0.00114034      0.00114
  1       grad_w    OK      0.182072639       6.91662011        18215     6.44129562      6.62336826
  1       grad_b    OK      0.115283966       0.13208557        295       23.9959373      24.1112213
  2       weights   OK      4.47e-07          0.00326797386     3587      0.342919171     0.342919618
  2       biases    OK      2.03e-07          0.0218340611      370       -0.001631673    -0.001631876
  2       grad_w    OK      0.200349808       1.24492254        36775     17.4581642      17.658514
  2       grad_b    OK      0.109247208       0.0624247344      295       20.6806736      20.7899208
  3       weights   OK      6.56e-07          0.00245644202     33703     0.126625866     0.12662521
  3       biases    OK      3.71e-07          0.012642225       295       -0.000385594    -0.000385965
  3       grad_w    OK      0.083328247       1.66510369        36808     -11.6509333     -11.7342615
  3       grad_b    OK      0.051013947       0.0260225921      328       -13.7187557     -13.7697697
  4       weights   OK      8.2e-07           0.00218965808     33575     0.149056986     0.149056166
  4       biases    OK      5e-07             0.132352941       376       -0.008863581    -0.008863081
  4       grad_w    OK      0.17861557        14.8805153        35859     -12.4507275     -12.2721119
  4       grad_b    OK      0.103538513       0.644721943       275       -32.2971687     -32.1936302
  5       weights   OK      8.8e-07           0.0172327134      33575     0.149583519     0.149582639
  5       biases    OK      4.55e-07          0.0084398977      376       -0.009222657    -0.009222202
  5       grad_w    OK      0.200983048       55.1783315        36775     17.862999       18.063982
  5       grad_b    OK      0.112066269       0.100885616       295       23.317234       23.4293003

cuda x pytorch
  epoch   campo     status  erro_abs_max      erro_rel_max      indice    referencia      candidato
  0       weights   OK      0                 0                 0         -0.148978099    -0.148978099
  0       biases    OK      0                 0                 0         0               0
  1       weights   OK      5.81e-07          0.00274896914     33703     0.122916356     0.122915775
  1       biases    OK      3.42e-07          0.0115803815      295       0.00114034      0.001139998
  1       grad_w    OK      0.181929588       6.89621764        18215     6.44129562      6.62322521
  1       grad_b    OK      0.115097046       0.132793608       295       23.9959373      24.1110344
  2       weights   OK      3.98e-07          0.00272331155     33656     0.039262474     0.039262872
  2       biases    OK      3.16e-07          0.0104529617      376       -0.007610951    -0.007610635
  2       grad_w    OK      0.200702667       1.04739696        36775     17.4581642      17.6588669
  2       grad_b    OK      0.1095047         0.050775638       295       20.6806736      20.7901783
  3       weights   OK      4.77e-07          0.00212314225     12947     -0.142950386    -0.142949909
  3       biases    OK      2.95e-07          0.00884955752     376       -0.008352728    -0.008352433
  3       grad_w    OK      0.105668068       226.359788        33476     -5.00488377     -4.8992157
  3       grad_b    OK      0.059795857       0.0983643174      324       -4.8372817      -4.77748585
  4       weights   OK      9.61e-07          0.00252652855     33732     0.087818377     0.087817416
  4       biases    OK      6.29e-07          0.0102941176      324       -0.002567208    -0.002567837
  4       grad_w    OK      0.178571701       10.647786         35859     -12.4507275     -12.2721558
  4       grad_b    OK      0.109903336       0.647489743       320       -12.2881403     -12.3980436
  5       weights   OK      7.75e-07          0.0109858548      5105      -0.424447715    -0.42444849
  5       biases    OK      4.77e-07          0.0242966752      376       -0.009222657    -0.00922218
  5       grad_w    OK      0.200954438       31.7240823        36775     17.862999       18.0639534
  5       grad_b    OK      0.1120224         0.100681226       295       23.317234       23.4292564

polyhok x pytorch
  epoch   campo     status  erro_abs_max      erro_rel_max      indice    referencia      candidato
  0       weights   OK      0                 0                 0         -0.148978099    -0.148978099
  0       biases    OK      0                 0                 0         0               0
  1       weights   OK      3.65e-07          0.00149309444     34067     -0.081135809    -0.081136174
  1       biases    OK      1.98e-07          0.00245700246     275       -0.004439561    -0.004439759
  1       grad_w    OK      0.001518249       4                 40052     -112.692711     -112.691193
  1       grad_b    OK      0.001083374       0.000625428062    384       -157.968811     -157.967728
  2       weights   OK      3.57e-07          0.00597176982     463       0.353963107     0.353963464
  2       biases    OK      1.31e-07          0.0133928571      376       -0.007610766    -0.007610635
  2       grad_w    OK      0.063153386       18.1394272        3084      -1.43206322     -1.49521661
  2       grad_b    OK      0.063152313       0.0336421642      12        -1.87717748     -1.94032979
  3       weights   OK      6.15e-07          0.00229289552     8487      0.031311646     0.031312261
  3       biases    OK      4.26e-07          0.00374531835     295       -0.000385965    -0.000385539
  3       grad_w    OK      0.105696678       1061.48398        33476     -5.00491238     -4.8992157
  3       grad_b    OK      0.059845925       0.0742745414      324       -4.83733177     -4.77748585
  4       weights   OK      9.68e-07          0.00161111022     33732     0.087818384     0.087817416
  4       biases    OK      6.56e-07          0.140677966       324       -0.002567181    -0.002567837
  4       grad_w    OK      0.168582916       4.144487          15040     -4.65527344     -4.82385635
  4       grad_b    OK      0.109949112       0.241642825       320       -12.2880945     -12.3980436
  5       weights   OK      7.15e-07          0.00635639658     1999      0.367179215     0.3671785
  5       biases    OK      5.43e-07          0.015724068       320       -0.001971433    -0.00197089
  5       grad_w    OK      0.182362079       5.07796105        33783     7.58805656      7.40569448
  5       grad_b    OK      0.108386994       0.0681757241      375       13.1586456      13.0502586
