split,accuracy,precision,recall,f1,tn,fp,fn,tp,total
train,0.560349263724,0.563267459571,0.758603726679,0.646502924630,1393666,2744091,1126194,3539139,8803090
test,0.560182255987,0.563007520715,0.758392837196,0.646255116311,348060,685060,281180,882610,2196910
